,Nava Representation,Tokenized Lemmatized
20,"[u'argue', u'toss', 'not_gon']","[u'well', u'you', u'were', u'not', u'gonna', u'argue', u'the', u'toss']"
21,"[u'hell', u'break']","[u'then', u'in', u'1981', u'all', u'hell', u'broke', u'loose', u'in', u'the', u'cambridge', u'english', u'faculty']"
22,"[u'hiss', u'eye', u'lock', u'battle', u'will']","[u'chantal', u'hissed', u'her', u'eyes', u'locked', u'on', u'his', u'in', u'a', u'battle', u'of', u'wills']"
23,"[u'get', u'bone', u'pick', u'club']","[u'i', u'have', u'got', u'a', u'bone', u'to', u'pick', u'with', u'one', u'club']"
24,"[u'sake', u'bury', u'hatchet']","[u'for', u'god', u's', u'sake', u'bury', u'the', u'hatchet']"
25,"[u'er', u'phone', u'breezy', u'bluff', u'find']","[u'i', u'really', u'should', u'er', u'phone', u'breezy', u'up', u'and', u'call', u'his', u'bluff', u'and', u'find', u'out']"
26,"[u'do', u'favour', u'get', u'back']","[u'do', u'me', u'a', u'favour', u'and', u'get', u'off', u'my', u'back']"
27,"[u'someone', u'say', u'television', u'petrol', u'weekend', u'black', u'say', u'know', u'black', u'black']","[u'someone', u'was', u'saying', u'on', u'television', u'one', u'of', u'those', u'er', u'petrol', u'weekend', u'things', u'about', u'all', u'the', u'black', u'things', u'and', u'they', u'they', u'were', u'saying', u'you', u'know', u'the', u'black', u'a', u'black', u'mood']"
28,"[u'suggestion', u'blow', u'fuse', 'not_need']","[u'it', u'was', u'only', u'a', u'suggestion', u'robyn', u'there', u'is', u'no', u'need', u'to', u'blow', u'a', u'fuse']"
29,"[u'blow', u'gasket']","[u'blow', u'a', u'gasket']"
30,"[u'blow', u'top', u'nick', u'double']","[u'if', u'you', u'blow', u'your', u'top', u'they', u'will', u'nick', u'you', u'double', u'quick']"
31,"[u'dear', u'bone', u'pick']","[u'dear', u'father', u'christmas', u'i', u'have', u'a', u'bone', u'to', u'pick', u'with', u'you']"
32,"[u'cheese', u'matter']","[u'you', u'sound', u'cheesed', u'off', u'what', u'is', u'the', u'matter']"
33,[u'cry'],"[u'for', u'crying', u'out', u'loud']"
34,"[u'read', u'paper', u'saw', u'glow', u'worm', u'cut', u'give', u'stick', u'factory']","[u'i', u'read', u'the', u'paper', u'and', u'i', u'saw', u'a', u'glow', u'worm', u'in', u'it', u'so', u'i', u'cut', u'it', u'out', u'and', u'gave', u'it', u'to', u'him', u'and', u'he', u'stuck', u'it', u'up', u'in', u'the', u'factory']"
35,"[u'fit', u'tie', u'separate', u'seem', u'blame', u'whole']","[u'he', u'was', u'fit', u'to', u'be', u'tied', u'when', u'i', u'separated', u'from', u'hugh', u'and', u'he', u'seems', u'to', u'blame', u'me', u'for', u'the', u'whole', u'thing']"
36,"[u'fly', u'handle']","[u'don', u't', u'fly', u'off', u'the', u'handle', u'ma']"
37,"[u'suppose', u'plan', u'make', u'foam', u'mouth', u'gabble', u'obsolete']","[u'i', u'suppose', u'you', u'are', u'planning', u'to', u'make', u'me', u'foam', u'at', u'the', u'mouth', u'and', u'gabble', u'in', u'obsolete', u'tongues']"
38,"[u'notice', u'kick', u'bucket', u'appear', u'verb', u'phrase']","[u'but', u'notice', u'kick', u'the', u'bucket', u'appears', u'as', u'a', u'verb', u'phrase']"
39,"[u'would', u'get', u'nerve']","[u'it', u'would', u'get', u'on', u'my', u'nerves']"
40,"[u'give', u'rest']","[u'oh', u'will', u'you', u'give', u'it', u'a', u'rest']"
41,"[u'question', u'private', u'ballistic', u'bureacrats', u'attempt', u'meddle', u'creative', 'not_tolerate']","[u'just', u'as', u'he', u'will', u'not', u'tolerate', u'questions', u'about', u'his', u'private', u'life', u'so', u'he', u'will', u'also', u'go', u'ballistic', u'if', u'bureacrats', u'attempt', u'to', u'meddle', u'in', u'his', u'creative', u'decisions']"
42,"[u'deep', 'not_go']","[u'now', u'do', u'not', u'go', u'off', u'the', u'deep', u'end']"
43,"[u'would', u'spare', u'know']","[u'old', u'stevenson', u'would', u'go', u'spare', u'if', u'he', u'knew']"
44,"[u'hot', u'collar']","[u'some', u'got', u'extremely', u'hot', u'under', u'the', u'collar', u'about', u'it']"
45,"[u'make', u'song', u'dance', 'not_particularly']","[u'it', u'is', u'not', u'particularly', u'to', u'make', u'a', u'song', u'and', u'dance', u'about', u'it']"
46,"[u'mean', u'mind']","[u'so', u'i', u'mean', u'you', u'you', u'just', u'mind', u'your', u'own', u'business']"
47,"[u'side', u'generate', u'light']","[u'both', u'sides', u'as', u'so', u'often', u'in', u'such', u'debates', u'generated', u'more', u'heat', u'than', u'light']"
48,"[u'be', u'go', u'rap', u'knuckle', u'quality']","[u'was', u'it', u'going', u'to', u'be', u'a', u'rap', u'on', u'the', u'knuckles', u'for', u'quality']"
49,"[u'say', u'could', u'see', u'red', u'green']","[u'he', u'already', u'said', u'he', u'could', u'see', u'red', u'and', u'green']"
50,"[u'would', u'anything', u'anybody', u'ask', u'short', u'come', u'insult']","[u'yanto', u'who', u'would', u'do', u'anything', u'for', u'anybody', u'who', u'asked', u'him', u'nicely', u'also', u'had', u'a', u'very', u'short', u'fuse', u'when', u'it', u'came', u'to', u'insults']"
51,"[u'steam', u'layer', u'look']","[u'it', u's', u'steamed', u'up', u'between', u'the', u'layers', u'is', u'that', u'what', u'you', u'are', u'looking', u'at']"
52,"[u'stick', u'throat']","[u'that', u's', u'what', u'd', u'stick', u'in', u'my', u'throat']"
53,"[u'like', u'make', u'blood', u'boil', u'think', u'slave']","[u'because', u'i', u'like', u'you', u'breeze', u'and', u'it', u'makes', u'my', u'blood', u'boil', u'to', u'think', u'of', u'you', u'slaving', u'away', u'as', u'you', u'do']"
54,"[u'take', u'biscuit', u'thing', 'not_will']","[u'well', u'you', u'will', u'take', u'the', u'biscuit', u'out', u'of', u'the', u'wednesday', u'thing', u'will', u'not', u'you']"
55,[u'last'],"[u'surrealism', u'was', u'definitely', u'the', u'last', u'straw']"
56,"[u'know', u'stupid', u'understand', u'talk', u'loudly', u'hope', u'patience', 'not_try']","[u'i', u'know', u'you', u'are', u'too', u'stupid', u'to', u'understand', u'this', u'but', u'i', u'will', u'talk', u'slowly', u'and', u'loudly', u'and', u'hope', u'that', u'you', u'will', u'not', u'try', u'my', u'patience', u'too', u'far']"
57,"[u'wait', u'reply', u'offer', u'bated']","[u'yanto', u'waited', u'for', u'a', u'reply', u'to', u'his', u'offer', u'with', u'bated', u'breath']"
58,"[u'slightest', u'pipe', u'make', u'retired', u'weak', u'knee', u'break', u'cold', u'shake']","[u'the', u'slightest', u'skirl', u'of', u'the', u'pipes', u'makes', u'the', u'retired', u'cleaner', u'go', u'weak', u'at', u'the', u'knees', u'break', u'out', u'in', u'a', u'cold', u'sweat', u'and', u'shake', u'uncontrollably']"
59,"[u'line', u'pluck', u'finger', u'heart', u'mouth', u'wind', u'pick', u'strike']","[u'the', u'line', u'was', u'plucking', u'nicely', u'through', u'my', u'fingers', u'and', u'with', u'my', u'heart', u'in', u'my', u'mouth', u'i', u'wound', u'the', u'pick', u'up', u'in', u'and', u'struck']"
60,"[u'say', u'nerve', u'steel']","[u'he', u'says', u'you', u'have', u'to', u'have', u'nerves', u'of', u'steel']"
61,"[u'terrible', u'mean', u'first', u'scared', u'could', u'dance', 'not_enjoy']","[u'it', u'was', u'just', u'really', u'terrible', u'i', u'mean', u'at', u'first', u'i', u'was', u'just', u'scared', u'stiff', u'that', u'i', u'could', u'not', u'enjoy', u'the', u'dance', u'on', u'sunday']"
62,"[u'hang', u'tenterhook', u'hammer', u'wall']","[u'so', u'these', u'are', u'hung', u'on', u'tenterhooks', u'directly', u'hammered', u'straight', u'into', u'the', u'wall']"
63,[u'tie'],"[u'tongue', u'tied']"
64,"[u'wit', u'end']","[u'i', u'am', u'at', u'my', u'wits', u'end']"
65,"[u'ant', u'pant', u'darling']","[u'ants', u'in', u'your', u'pants', u'darling']"
66,"[u'know', u'want', u'question', u'young', u'know', u'bright', u'bushy', u'point', u'van', u'park', u'car', u'park', u'day', u'fifty', u'yard']","[u'once', u'it', u'was', u'known', u'that', u'terry', u'gill', u'was', u'wanted', u'for', u'questioning', u'a', u'young', u'constable', u'who', u'knew', u'him', u'all', u'bright', u'eyed', u'and', u'bushy', u'tailed', u'pointed', u'out', u'that', u'his', u'van', u'had', u'been', u'parked', u'in', u'the', u'car', u'park', u'all', u'day', u'within', u'fifty', u'yards', u'of', u'the', u'incident', u'room']"
67,"[u'cause', u'stir', u'nothing', u'would']","[u'cause', u'a', u'stir', u'if', u'nothing', u'else', u'would', u'not', u'it']"
68,"[u'edge', u'seat', u'couple', u'time']","[u'he', u'had', u'me', u'on', u'the', u'edge', u'of', u'my', u'seat', u'a', u'couple', u'of', u'times']"
69,"[u'bit', u'give', u'smile', u'lick', u'lip']","[u'a', u'bit', u'further', u'give', u'us', u'a', u'smile', u'lick', u'your', u'lips', u'gilly']"
70,"[u'begin', u'find', u'much', u'take', u'board', u'think', u'make', u'decision', u'put', u'heart', 'not_bother']","[u'to', u'begin', u'with', u'i', u'found', u'it', u'almost', u'too', u'much', u'to', u'take', u'on', u'board', u'but', u'it', u'was', u'all', u'extremely', u'thought', u'provoking', u'and', u'i', u'had', u'to', u'make', u'a', u'decision', u'to', u'put', u'my', u'heart', u'into', u'it', u'or', u'not', u'to', u'bother', u'at', u'all']"
71,"[u'autumn', u'cos', u'everybody', u'start', u'raring', u'want', u'get', u'start', u'next', u'programme', 'not_go']","[u'so', u'i', u'cannot', u'go', u'away', u'in', u'the', u'autumn', u'now', u'cos', u'that', u'has', u'that', u'is', u'just', u'when', u'everybody', u'starts', u'raring', u'to', u'go', u'and', u'wanting', u'to', u'get', u'started', u'on', u'next', u'year', u's', u'programme']"
72,"[u'bored', u'tear']","[u'but', u'i', u'was', u'i', u'was', u'bored', u'to', u'tears']"
73,"[u'could', u'good', u'close', u'home', 'not_know']","[u'i', u'did', u'not', u'know', u'i', u'could', u'have', u'such', u'a', u'good', u'time', u'so', u'close', u'to', u'home']"
74,"[u'leisurewear', u'industry', u'would', u'come', u'seam', u'indispensable']","[u'the', u'leisurewear', u'industry', u'would', u'come', u'apart', u'at', u'the', u'seams', u'literally', u'without', u'this', u'indispensable', u'fastening']"
75,"[u'cut', u'quick', u'wish', u'could', u'kill', u'impertinent', u'perceptive']","[u'lexandro', u'felt', u'cut', u'to', u'the', u'quick', u'and', u'wished', u'he', u'could', u'kill', u'this', u'impertinent', u'if', u'perceptive', u'sergeant']"
76,"[u'wait', u'instruct', u'could', u'less', u'fish', u'water', u'battalion']","[u'he', u'waited', u'to', u'be', u'instructed', u'what', u'else', u'a', u'rifleman', u'could', u'do', u'to', u'be', u'less', u'like', u'a', u'fish', u'out', u'of', u'water', u'in', u'a', u'battalion', u'of', u'grenadiers']"
77,"[u'fit', u'pique', u'would', u'include', u'wild', u'last']","[u'in', u'a', u'fit', u'of', u'pique', u'she', u'would', u'included', u'some', u'wild', u'canvases', u'in', u'the', u'last', u'show']"
78,"[u'try', u'get', u'grip', u'tell']","[u'try', u'to', u'get', u'a', u'grip', u'on', u'yourself', u'and', u'tell', u'me', u'about', u'it']"
79,"[u'could', u'work', u'car', 'not_get']","[u'jane', u'could', u'not', u'get', u'worked', u'up', u'about', u'any', u'car']"
80,"[u'breathe', u'hurry', u'scramble', u'lip', u'hand', u'heat', u'inside', u'stuff', u'small', u'mouth', u'astonish', u'guilty', u'lay', u'bed', u'afternoon', u'read', u'forbidden', u'smuggle', u'library']","[u'both', u'of', u'them', u'were', u'breathing', u'hard', u'such', u'a', u'hurry', u'and', u'scramble', u'of', u'lips', u'hands', u'such', u'a', u'heat', u'inside', u'and', u'between', u'them', u'he', u'stuffed', u'one', u'small', u'breast', u'into', u'his', u'mouth', u'and', u'then', u'the', u'other', u'giving', u'her', u'the', u'same', u'churn', u'of', u'astonished', u'guilty', u'pleasure', u'as', u'when', u'she', u'lay', u'on', u'her', u'bed', u'in', u'the', u'afternoons', u'and', u'read', u'the', u'forbidden', u'books', u'she', u'smuggled', u'home', u'from', u'the', u'library']"
81,"[u'go', u'job', u'find', u'hard', u'nail']","[u'so', u'i', u'go', u'have', u'a', u'job', u'to', u'find', u'it', u'he', u'just', u'looks', u'at', u'me', u'hard', u'as', u'nails']"
82,"[u'fight', u'keep', u'stiff', u'upper', u'devil', u'may', u'care', u'sangfroid', u'scared']","[u'to', u'fight', u'for', u'king', u'and', u'country', u'to', u'keep', u'a', u'stiff', u'upper', u'lip', u'and', u'a', u'devil', u'may', u'care', u'sangfroid', u'no', u'matter', u'if', u'he', u'were', u'scared', u'shitless']"
83,"[u'arrive', u'take', u'go', u'lick', u'wound']","[u'i', u'was', u'as', u'a', u'newly', u'arrived', u'curate', u'somewhat', u'taken', u'aback', u'and', u'went', u'home', u'to', u'lick', u'my', u'wounds']"
84,"[u'do', u'lump', u'throat']","[u'did', u'you', u'have', u'a', u'lump', u'in', u'your', u'throat']"
85,"[u'immigrant', u'hot', u'settle', u'generation', u'survive', u'cold', u'icy', u'hybrid', u'blood', u'many', u'vein', u'hair', u'cooler', u'climate', u'cooler', u'neighbour', 'not_turn']","[u'since', u'immigrants', u'from', u'hot', u'countries', u'have', u'settled', u'here', u'for', u'generations', u'surviving', u'the', u'cold', u'icy', u'blast', u'the', u'hybrid', u'english', u'with', u'the', u'blood', u'of', u'many', u'nations', u'in', u'their', u'veins', u'will', u'not', u'turn', u'a', u'hair', u'at', u'the', u'cooler', u'climate', u'or', u'the', u'cooler', u'neighbours']"
86,"[u'not', u'character', u'tale', u'liken', u'animal', u'instance', u'proud', u'peacock', u'skull']","[u'not', u'only', u'are', u'characters', u'within', u'the', u'tale', u'likened', u'to', u'animals', u'for', u'instance', u'the', u'miller', u'proud', u'as', u'a', u'peacock', u'with', u'his', u'skull']"
87,"[u'pleased', u'punch']","[u'yeah', u'pleased', u'as', u'punch']"
88,"[u'silence', u'eyebrow', u'speak', u'volume']","[u'but', u'her', u'silence', u'and', u'her', u'eyebrows', u'speak', u'volumes']"
89,"[u'window', u'steam']","[u'the', u'windows', u'upstairs', u'are', u'all', u'steamed', u'up']"
90,"[u'dumpling', u'see', u'dumpling', u'stew', u'puke', 'not_eat']","[u'he', u'will', u'not', u'eat', u'dumplings', u'if', u'he', u'sees', u'dumplings', u'in', u'a', u'stew', u'he', u'will', u'puke']"
91,"[u'clean', u'swallow', u'pride']","[u'come', u'clean', u'steve', u'swallow', u'your', u'pride']"
92,"[u'whisper', u'sweet', u'ear', 'not_come']","[u'he', u'does', u'not', u'come', u'and', u'whisper', u'sweet', u'nothings', u'in', u'our', u'ears']"
93,"[u'mind', u'skivvying', u'fam', u'head', u'fam', u'take', u'fancy', 'not_alf']","[u'mind', u'you', u'when', u'i', u'was', u'skivvying', u'for', u'that', u'brixton', u'fam', u'ly', u'the', u'head', u'of', u'the', u'fam', u'ly', u'did', u'not', u'alf', u'take', u'a', u'fancy', u'to', u'me']"
94,"[u'provide', u'income', u'need', u'stop', u'work', u'take', u'load', u'mind']","[u'providing', u'the', u'income', u'you', u'will', u'need', u'after', u'you', u'stop', u'work', u'can', u'take', u'a', u'load', u'off', u'your', u'mind']"
95,"[u'tear', u'hair']","[u'don', u't', u'tear', u'your', u'hair', u'out']"
96,"[u'hanging', u'erm', u'hang', u'tenterhook', u'hammer', u'wall']","[u'so', u'these', u'are', u'hangings', u'erm', u'hung', u'on', u'tenterhooks', u'directly', u'hammered', u'straight', u'into', u'the', u'wall']"
97,[u'chill'],"[u'chill', u'out', u'tal']"
98,"[u'feast', u'eye', u'little', u'gem']","[u'feast', u'your', u'eyes', u'on', u'this', u'little', u'dazzler', u'a', u'gem', u'in', u'a', u'million']"
99,"[u'listen', u'way', u'sing', u'phase']","[u'listen', u'to', u'the', u'way', u'he', u'sings', u'the', u'phase', u'footloose', u'and', u'fancy', u'free']"
100,[u'full'],"[u'the', u'jamboree', u'was', u'in', u'full', u'swing']"
101,"[u'know', u'come', u'full', u'joy', u'spring', u'look', u'chat', u'friend']","[u'because', u'you', u'know', u'they', u'came', u'up', u'they', u'were', u'full', u'of', u'the', u'joys', u'of', u'spring', u'looking', u'around', u'chatting', u'to', u'their', u'friends']"
102,"[u'breathe', u'hurry', u'scramble', u'lip', u'hand', u'heat', u'inside', u'stuff', u'small', u'mouth', u'astonish', u'guilty', u'lay', u'bed', u'afternoon', u'read', u'forbidden', u'smuggle', u'library']","[u'both', u'of', u'them', u'were', u'breathing', u'hard', u'such', u'a', u'hurry', u'and', u'scramble', u'of', u'lips', u'hands', u'such', u'a', u'heat', u'inside', u'and', u'between', u'them', u'he', u'stuffed', u'one', u'small', u'breast', u'into', u'his', u'mouth', u'and', u'then', u'the', u'other', u'giving', u'her', u'the', u'same', u'churn', u'of', u'astonished', u'guilty', u'pleasure', u'as', u'when', u'she', u'lay', u'on', u'her', u'bed', u'in', u'the', u'afternoons', u'and', u'read', u'the', u'forbidden', u'books', u'she', u'smuggled', u'home', u'from', u'the', u'library']"
103,"[u'sing', u'lot', u'song', u'lot', u'know', u'play', u'ball', 'not_used']","[u'ooh', u'well', u'they', u'used', u'to', u'well', u'they', u'did', u'not', u'used', u'to', u'sing', u'a', u'lot', u'of', u'songs', u'but', u'er', u'they', u'used', u'to', u'do', u'a', u'lot', u'of', u'you', u'know', u'playing', u'about', u'and', u'perhaps', u'and', u'then', u'they', u'had', u'perhaps', u'have', u'a', u'ball']"
104,"[u'sure', u'time', u'life']","[u'but', u'you', u'can', u'be', u'sure', u'that', u'you', u'will', u'have', u'the', u'time', u'of', u'your', u'life']"
105,"[u'mummy', u'whale', u'time']","[u'and', u'mummy', u'will', u'have', u'a', u'whale', u'of', u'a', u'time']"
106,"[u'let', u'hair', u'others', u'see', u'real', u'hide', u'hat']","[u'it', u's', u'only', u'when', u'you', u'let', u'your', u'hair', u'down', u'that', u'others', u'can', u'see', u'the', u'real', u'person', u'hiding', u'under', u'the', u'hat']"
107,"[u'time', u'ready', u'leave', u'use', u'ounce', u'effort', u'convince', u'paint', u'town', u'red', u'matter', u'candlelit', 'not_want', 'not_want']","[u'by', u'the', u'time', u'they', u'were', u'ready', u'to', u'leave', u'she', u'was', u'having', u'to', u'use', u'every', u'ounce', u'of', u'effort', u'to', u'convince', u'andr', u'that', u'no', u'she', u'did', u'not', u'want', u'to', u'paint', u'the', u'town', u'red', u'or', u'any', u'other', u'colour', u'for', u'that', u'matter', u'and', u'no', u'she', u'did', u'not', u'want', u'to', u'have', u'any', u'candlelit', u'dinners', u'with', u'him']"
108,"[u'pull', u'leg']","[u'no', u'he', u'was', u'only', u'pulling', u'your', u'leg']"
109,"[u'punch', 'not_line']","[u'no', u'punch', u'line']"
110,"[u'flamboyant', u'much', u'social', u'comparison', u'rest', u'senior', u'tend', u'keep', u'life', 'not_is']","[u'he', u'is', u'not', u'a', u'flamboyant', u'man', u'nor', u'is', u'he', u'much', u'of', u'a', u'social', u'butterfly', u'except', u'by', u'comparison', u'with', u'the', u'rest', u'of', u'his', u'senior', u'colleagues', u'who', u'tend', u'to', u'keep', u'to', u'their', u'own', u'counsel', u'and', u'lives', u'in', u'barnes']"
111,"[u'take', 'not_panicky']","[u'now', u'take', u'it', u'easy', u'do', u'not', u'get', u'panicky']"
112,"[u'world', u'oyster', u'say']","[u'after', u'that', u'the', u'world', u'is', u'your', u'oyster', u'as', u'they', u'say']"
113,"[u'past', u'live', u'cloud', u'decide', u'might', u'set', u'home', u'wonderful']","[u'for', u'the', u'past', u'five', u'days', u'now', u'she', u'had', u'been', u'living', u'somewhere', u'on', u'cloud', u'nine', u'and', u'had', u'decided', u'that', u'she', u'might', u'just', u'as', u'well', u'set', u'up', u'home', u'there', u'as', u'it', u'was', u'such', u'a', u'wonderful', u'place', u'to', u'be']"
114,"[u'cry', u'eye', u'make', u'absolute', u'tell']","[u'cry', u'my', u'eyes', u'out', u'make', u'an', u'absolute', u'wally', u'of', u'myself', u'and', u'now', u'you', u'tell', u'me', u'he', u'was', u'a', u'repo', u'man']"
115,"[u'say', u'bit', u'dump', u'moody']","[u'so', u'he', u'said', u'that', u'she', u'is', u'feeling', u'a', u'bit', u'down', u'in', u'the', u'dumps', u'and', u'quite', u'moody']"
116,"[u'erm', u'make', u'laugh', u'say', u'secretary', u'erm', u'know', u'time', u'mouth', 'not_think']","[u'that', u'erm', u'made', u'me', u'laugh', u'because', u'he', u'said', u'to', u'his', u'secretary', u'erm', u'you', u'know', u'i', u'i', u'honestly', u'do', u'not', u'think', u'your', u'time', u'is', u'she', u'is', u'so', u'down', u'in', u'the', u'mouth']"
117,"[u'pretend', u'sister', u'say', u'sister', u'share', u'lesbian', u'think', u'live', u'fool', u'paradise']","[u'to', u'pretend', u'as', u'the', u'sister', u'said', u'that', u'because', u'she', u'and', u'another', u'sister', u'share', u'lesbian', u'sexuality', u'that', u'that', u'is', u'the', u'only', u'thing', u'i', u'think', u'is', u'living', u'in', u'a', u'fools', u'paradise']"
118,"[u'grin', u'ear', u'ear']","[u'mr', u'crangle', u'was', u'grinning', u'from', u'ear', u'to', u'ear']"
119,"[u'go', u'come', u'forest', u'reply', u'grin', u'cat']","[u'they', u're', u'going', u'to', u'have', u'to', u'come', u'out', u'of', u'the', u'forests', u'he', u'replied', u'with', u'a', u'grin', u'like', u'a', u'cheshire', u'cat']"
120,"[u'wish', u'could', u'lucky']","[u'i', u'wish', u'i', u'could', u'happy', u'go', u'lucky', u'like', u'that']"
121,"[u'voice', u'sing', u'song', u'turn', u'hum', u'your', u'heart', u'sink', u'hop', u'alone', u'house']","[u'the', u'voice', u'sings', u'along', u'with', u'the', u'song', u'then', u'turns', u'into', u'a', u'hum', u'your', u'heart', u'sinks', u'you', u'were', u'hoping', u'he', u'was', u'alone', u'in', u'the', u'house']"
122,"[u'female', u'jump', u'joy', u'hear', 'not_believe']","[u'female', u'speaker', u'i', u'jump', u'for', u'joy', u'but', u'until', u'i', u'hear', u'from', u'the', u'foreign', u'office', u'or', u'from', u'martin', u'i', u'will', u'not', u'believe', u'it']"
123,"[u'suppose', u'comment', u'music', u'ear']","[u'i', u'suppose', u'that', u'comments', u'like', u'that', u'are', u'music', u'to', u'your', u'ears']"
124,"[u'little', u'look', u'window', u'could', u'see', u'hold', u'walk', u'get', u'know', u'would', u'get', u'moon', u'little', u'everything']","[u'it', u's', u'a', u'little', u'lad', u'and', u'i', u'looked', u'through', u'a', u'window', u'i', u'could', u'see', u'judith', u'holding', u'this', u'baby', u'but', u'you', u'had', u'to', u'walk', u'round', u'to', u'get', u'to', u'her', u'and', u'i', u'knew', u'before', u'you', u'had', u'you', u'would', u'got', u'there', u'and', u'you', u'were', u'all', u'over', u'the', u'moon', u'about', u'this', u'little', u'baby', u'and', u'everything']"
125,"[u'laugh', u'roll', u'mirth', u'pleased', 'not_sure']","[u'she', u'was', u'not', u'quite', u'sure', u'what', u'all', u'of', u'them', u'were', u'laughing', u'about', u'but', u'there', u'they', u'were', u'rolling', u'about', u'with', u'mirth', u'and', u'herbert', u'fraser', u'looking', u'as', u'pleased', u'as', u'punch']"
