canton,2012_01_tweets,2012_02_tweets,2012_03_tweets,2012_04_tweets,2012_05_tweets,2012_06_tweets,2012_07_tweets,2012_08_tweets,2012_09_tweets,2012_10_tweets,2012_11_tweets,2012_12_tweets,2013_01_tweets,2013_02_tweets,2013_03_tweets,2013_04_tweets,2013_05_tweets,2013_06_tweets,2013_07_tweets,2013_08_tweets,2013_09_tweets,2013_10_tweets,2013_11_tweets,2013_12_tweets,2014_01_tweets,2014_02_tweets,2014_03_tweets,2014_04_tweets,2014_05_tweets,2014_06_tweets,2014_07_tweets,2014_08_tweets,2014_09_tweets,2014_10_tweets,2014_11_tweets,2014_12_tweets,2015_01_tweets,2015_02_tweets,2015_03_tweets,2015_04_tweets,2015_05_tweets,2015_06_tweets,2015_07_tweets,2015_08_tweets,2015_09_tweets,2015_10_tweets,2015_11_tweets,2015_12_tweets,2016_01_tweets,2016_02_tweets,2016_03_tweets,2016_04_tweets,2016_05_tweets,2016_06_tweets,2016_07_tweets,2016_08_tweets,2016_09_tweets,2016_10_tweets,2016_11_tweets,2016_12_tweets
JU,4,6.0,19,684,1361,1541,3715,1933,918,1536,2041,1225,1582,1290,1774,1271,1136,820,No Data,No Data,344,1507,1397,2416,2312,1426,1173,939,866,956,1182,892,859,457,837,2249,2134,1188,581,150,511,452,822,724,455,232,710,639,449,1072,1137,1132,653,855,683,334,232,No Data,No Data,No Data
LU,192,286.0,398,1231,3396,2704,3633,3772,1837,4128,4077,3389,4708,3777,4127,4851,6653,5028,No Data,No Data,1556,4036,3859,6658,6782,6517,6718,5906,5363,5659,9247,7590,5238,1457,4409,6731,4327,3541,1374,1511,4963,4616,4062,6199,3478,1107,4061,4845,4548,4663,9956,5351,5708,5811,5153,2271,3875,No Data,No Data,No Data
NE,134,216.0,116,657,1996,3177,2382,3745,2065,5550,10173,14803,19302,16842,24569,23089,21474,19180,No Data,1.0,5111,14652,14231,15590,14315,12204,12947,10546,14151,11946,8351,13543,12904,2590,6512,5802,6605,3808,1422,1710,6459,6894,3656,5844,4100,1425,4694,3733,4849,3874,4680,5252,4863,4658,3446,2360,2093,No Data,No Data,No Data
NW,9,9.0,6,96,327,317,283,423,293,801,859,1502,1056,843,873,532,1065,1263,No Data,No Data,193,442,280,2082,2522,642,657,582,690,1109,1084,543,360,114,322,389,400,212,52,82,261,434,567,584,342,148,410,533,189,182,334,379,616,827,477,177,186,No Data,No Data,No Data
OW,14,31.0,40,374,530,934,854,669,210,288,477,581,593,720,907,845,813,705,No Data,No Data,427,1590,1450,1664,1318,1284,1402,1273,1718,1980,2749,1558,1042,370,3264,6374,4356,4405,1660,1411,4472,5467,3965,6315,4314,1882,8948,5665,6166,3979,3408,4063,3922,3429,3565,1810,1169,No Data,No Data,No Data
SG,201,306.0,276,855,2532,2282,2738,3010,1547,3830,4456,4129,4128,3126,4138,4166,4738,4487,No Data,No Data,1640,4395,4045,8374,8167,4359,3708,5018,3753,5531,4195,4651,4614,1036,4201,2528,2796,2463,878,1033,4246,3210,3395,3478,1732,2195,3987,3293,3696,3621,3649,3129,4140,4580,4260,2559,1483,No Data,No Data,No Data
SH,8,10.0,11,125,416,274,270,541,165,509,270,375,359,255,820,1420,357,416,No Data,No Data,110,1614,1116,2730,2985,1025,679,570,599,662,1003,851,588,75,494,906,1152,681,51,88,527,325,580,1132,546,118,561,657,764,393,698,770,1218,2720,1460,796,275,No Data,No Data,No Data
SO,102,87.0,98,1665,1462,1833,1619,1635,1032,2339,1980,2112,2126,1908,1814,2240,2832,2358,No Data,No Data,598,1566,1538,4090,4399,2470,2420,2476,2447,2852,2819,3519,2602,615,1637,1195,1723,1026,479,704,2782,2727,3962,3586,2227,473,1774,2065,2416,5317,2425,2100,2335,2445,2489,944,683,No Data,No Data,No Data
SZ,52,38.0,49,178,608,521,693,849,459,827,1003,628,1024,629,643,542,1733,2007,No Data,No Data,262,698,599,1548,1455,552,548,471,870,629,917,716,566,147,506,1015,706,389,225,103,659,618,917,1699,476,196,959,669,632,636,1147,780,1243,1030,1242,896,348,No Data,No Data,No Data
TG,35,31.0,23,1050,2985,1991,1189,1825,814,1774,2611,2991,1974,2193,1536,2093,3196,2173,No Data,No Data,575,1699,1655,3504,2870,2728,3396,2365,3051,2286,5353,6359,2098,653,2984,3955,2605,596,288,1374,3341,1116,1456,1983,871,249,1107,1138,1644,1377,1223,2074,2006,1932,2489,1634,442,No Data,No Data,No Data
TI,180,163.0,210,3064,10881,10757,11636,12368,5529,10741,14375,15540,12260,8648,11931,7050,9426,9134,No Data,No Data,4288,8388,7577,9648,7933,8823,7605,7431,8831,7860,10750,13287,7413,2966,8201,7654,7228,4507,1904,1634,7255,5346,6837,6747,4643,1796,6813,7400,7397,6330,7470,7566,7402,8628,6946,4503,2417,No Data,No Data,No Data
UR,26,48.0,24,34,242,155,292,350,159,201,139,142,258,161,325,296,270,289,No Data,No Data,69,125,138,592,840,196,220,167,165,546,350,322,493,488,757,203,93,126,47,65,96,233,296,344,208,53,132,182,226,190,250,190,218,464,358,449,93,No Data,No Data,No Data
VD,939,857.0,1059,5802,16233,18226,21422,24707,14830,34718,42283,35769,36069,30219,39304,43076,44109,38175,No Data,No Data,11603,32847,35109,44001,36210,34583,36104,33190,34530,42151,36215,33858,31297,10057,29004,22472,21689,12876,5469,5690,19798,18317,21242,21844,18320,7703,19523,18440,17040,17496,19783,20729,20300,23822,24430,10689,7810,No Data,No Data,No Data
VS,487,422.0,479,2174,7249,7093,7259,9578,4656,10283,9741,13812,15998,13209,17811,21286,16332,16432,No Data,No Data,3704,12167,11401,21106,16398,14499,16802,14477,13636,15449,16728,17105,11313,2826,9029,10602,10413,8468,3142,2228,9769,10645,12279,12878,6455,2858,9504,10807,11373,10487,10098,9625,8374,8934,10832,6654,2928,No Data,No Data,No Data
ZG,84,442.0,331,422,1464,1208,1328,1373,702,1102,1335,1035,1126,1178,1209,1269,1411,1217,No Data,No Data,342,1089,1584,1914,1899,2979,2796,3288,2837,2033,1498,1739,1291,653,1427,1365,1330,1022,392,450,1624,1887,1251,1818,1317,384,1522,1207,1397,1763,2598,1870,1624,2170,1466,936,749,No Data,No Data,No Data
ZH,2452,2456.0,2853,8299,25659,25096,26973,29678,15572,26791,27868,24921,30207,27074,28525,24856,31962,28625,No Data,No Data,11029,28448,30942,34243,30606,29136,33487,28834,33182,34544,34489,34990,29677,10679,27452,24346,27919,24936,8358,8320,30925,30285,31339,33168,22866,9828,35745,29772,30170,28620,32438,31402,32798,36036,35304,17711,11922,No Data,No Data,No Data
