canton,01_2012,02_2012,03_2012,04_2012,05_2012,06_2012,07_2012,08_2012,09_2012,10_2012,11_2012,12_2012,01_2013,02_2013,03_2013,04_2013,05_2013,06_2013,07_2013,08_2013,09_2013,10_2013,11_2013,12_2013,01_2014,02_2014,03_2014,04_2014,05_2014,06_2014,07_2014,08_2014,09_2014,10_2014,11_2014,12_2014,01_2015,02_2015,03_2015,04_2015,05_2015,06_2015,07_2015,08_2015,09_2015,10_2015,11_2015,12_2015,01_2016,02_2016,03_2016,04_2016,05_2016,06_2016,07_2016,08_2016,09_2016,10_2016,11_2016,12_2016
JU,Anger,Fear,Anticipation,Sadness,Sadness,Sadness,Joy,Sadness,Sadness,Sadness,Sadness,Sadness,Sadness,Sadness,Sadness,Sadness,Sadness,Trust,No Data,No Data,Trust,Trust,Trust,Anticipation,Anticipation,Trust,Anticipation,Anticipation,Trust,Anticipation,Trust,Anticipation,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Anticipation,Joy,Trust,Trust,Trust,Joy,Anticipation,Trust,Trust,Anticipation,Trust,Trust,Trust,Trust,Trust,No Data,No Data,No Data
LU,Trust,Trust,Trust,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Trust,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Joy,Joy,No Data,No Data,Trust,Joy,Anticipation,Anticipation,Anticipation,Trust,Anticipation,Joy,Anticipation,Anticipation,Anticipation,Trust,Joy,Trust,Joy,Anticipation,Anticipation,Anticipation,Trust,Anticipation,Joy,Anticipation,Anticipation,Joy,Anticipation,Anticipation,Anticipation,Trust,Trust,Anticipation,Anticipation,Joy,Anticipation,Anticipation,Anticipation,Joy,Anticipation,No Data,No Data,No Data
NE,Trust,Anticipation,Trust,Sadness,Sadness,Anticipation,Anticipation,Anticipation,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,No Data,Anger,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Joy,Joy,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,No Data,No Data,No Data
NW,Anticipation,Fear,Fear,Joy,Anticipation,Anticipation,Anticipation,Joy,Anticipation,Anticipation,Trust,Trust,Anticipation,Anticipation,Trust,Anticipation,Anticipation,Trust,No Data,No Data,Anticipation,Anticipation,Trust,Anticipation,Anticipation,Trust,Trust,Trust,Trust,Trust,Anticipation,Anticipation,Joy,Joy,Anticipation,Anticipation,Anticipation,Anticipation,Fear,Joy,Trust,Anticipation,Anticipation,Anticipation,Anticipation,Joy,Joy,Joy,Trust,Anticipation,Trust,Trust,Anticipation,Trust,Trust,Trust,Trust,No Data,No Data,No Data
OW,Trust,Joy,Anticipation,Anticipation,Anticipation,Anticipation,Trust,Trust,Anticipation,Trust,Anticipation,Trust,Joy,Trust,Anticipation,Trust,Anticipation,Trust,No Data,No Data,Trust,Trust,Anticipation,Anticipation,Anticipation,Trust,Trust,Anticipation,Anticipation,Trust,Trust,Anticipation,Joy,Joy,Joy,Joy,Trust,Trust,Trust,Trust,Trust,Anticipation,Trust,Trust,Trust,Trust,Trust,Anticipation,Trust,Anticipation,Trust,Trust,Trust,Trust,Trust,Joy,Joy,No Data,No Data,No Data
SG,Anticipation,Trust,Anticipation,Anticipation,Anticipation,Anticipation,Joy,Joy,Anticipation,Anticipation,Anticipation,Joy,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Joy,No Data,No Data,Trust,Anticipation,Anticipation,Anticipation,Anticipation,Trust,Anticipation,Anticipation,Anticipation,Trust,Anticipation,Anticipation,Trust,Anticipation,Anticipation,Anticipation,Trust,Trust,Anticipation,Anticipation,Trust,Anticipation,Anticipation,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Anticipation,Trust,Trust,Trust,Trust,Trust,Trust,No Data,No Data,No Data
SH,Anticipation,Trust,Anticipation,Anticipation,Anticipation,Trust,Trust,Trust,Anticipation,Anticipation,Anticipation,Trust,Anticipation,Trust,Trust,Trust,Anticipation,Trust,No Data,No Data,Trust,Trust,Trust,Anticipation,Anticipation,Trust,Trust,Trust,Trust,Trust,Anticipation,Anticipation,Anticipation,Joy,Trust,Joy,Joy,Joy,Anticipation,Joy,Anticipation,Trust,Joy,Trust,Trust,Trust,Anticipation,Trust,Trust,Trust,Trust,Trust,Trust,Anticipation,Trust,Anticipation,Anticipation,No Data,No Data,No Data
SO,Trust,Joy,Trust,Trust,Anticipation,Anticipation,Anticipation,Anticipation,Trust,Trust,Anticipation,Anticipation,Anticipation,Anticipation,Trust,Anticipation,Anticipation,Joy,No Data,No Data,Anticipation,Joy,Trust,Anticipation,Anticipation,Anticipation,Trust,Anticipation,Trust,Trust,Trust,Anticipation,Anticipation,Trust,Anticipation,Trust,Trust,Trust,Trust,Trust,Anticipation,Trust,Trust,Trust,Trust,Trust,Anticipation,Trust,Anticipation,Joy,Anticipation,Trust,Trust,Anticipation,Anticipation,Anticipation,Trust,No Data,No Data,No Data
SZ,Anticipation,Anticipation,Trust,Anticipation,Anticipation,Anticipation,Anticipation,Joy,Joy,Anticipation,Anticipation,Anticipation,Joy,Joy,Joy,Joy,Joy,Trust,No Data,No Data,Anticipation,Joy,Joy,Anticipation,Anticipation,Anticipation,Anticipation,Trust,Trust,Anticipation,Anticipation,Anticipation,Joy,Trust,Trust,Anticipation,Trust,Joy,Joy,Trust,Anticipation,Joy,Anticipation,Trust,Anticipation,Anticipation,Trust,Anticipation,Trust,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,No Data,No Data,No Data
TG,Trust,Anticipation,Anticipation,Trust,Trust,Trust,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Joy,Anticipation,Anticipation,Anticipation,Anticipation,Joy,Joy,No Data,No Data,Joy,Joy,Trust,Anticipation,Anticipation,Trust,Trust,Trust,Trust,Trust,Anticipation,Joy,Joy,Joy,Joy,Joy,Joy,Trust,Anticipation,Joy,Joy,Anticipation,Anticipation,Anticipation,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Joy,Joy,Anticipation,Joy,Joy,Anticipation,No Data,No Data,No Data
TI,Anticipation,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,No Data,No Data,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Joy,Joy,Trust,Trust,Trust,Joy,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,No Data,No Data,No Data
UR,Anticipation,Trust,Joy,Anger,Anticipation,Anticipation,Anticipation,Joy,Joy,Anticipation,Anticipation,Anticipation,Trust,Trust,Trust,Joy,Trust,Trust,No Data,No Data,Anticipation,Trust,Joy,Joy,Anticipation,Trust,Anticipation,Trust,Trust,Anticipation,Joy,Joy,Joy,Joy,Joy,Joy,Anticipation,Joy,Joy,Trust,Anticipation,Trust,Anticipation,Anticipation,Joy,Joy,Joy,Joy,Trust,Anticipation,Joy,Anticipation,Joy,Anticipation,Joy,Anticipation,Anticipation,No Data,No Data,No Data
VD,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,No Data,No Data,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Joy,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,No Data,No Data,No Data
VS,Trust,Trust,Trust,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Trust,Trust,Trust,No Data,No Data,Trust,Trust,Trust,Trust,Anticipation,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Joy,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Anticipation,Anticipation,Trust,Trust,Trust,Trust,Trust,Trust,No Data,No Data,No Data
ZG,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Trust,Anticipation,Trust,Anticipation,Anticipation,Anticipation,Anticipation,Trust,Trust,Trust,Joy,Anticipation,No Data,No Data,Anticipation,Anticipation,Trust,Anticipation,Anticipation,Joy,Trust,Anticipation,Anticipation,Joy,Anticipation,Anticipation,Anticipation,Trust,Trust,Anticipation,Anticipation,Trust,Trust,Trust,Trust,Trust,Anticipation,Trust,Trust,Trust,Trust,Anticipation,Anticipation,Trust,Trust,Anticipation,Trust,Trust,Anticipation,Anticipation,Anticipation,No Data,No Data,No Data
ZH,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Trust,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,No Data,No Data,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Trust,Trust,Trust,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Anticipation,Trust,Joy,Trust,Joy,Anticipation,Anticipation,Anticipation,Trust,Anticipation,Trust,Trust,Trust,Anticipation,Trust,Anticipation,Anticipation,Trust,Trust,Trust,Anticipation,Anticipation,No Data,No Data,No Data
